id,user_id,name,country,stadium_name,primary_color,secondary_color,detail_color,logo_url,fans,reputation,budget,created_at,updated_at,shield_config,cash,last_youth_generation_at,current_uniform_launch_id,uniform_launches_available,total_members,engagement_rate,sales_bonus_multiplier,bankrupt_at,consecutive_negative_days,training_center_level,youth_academy_level,physiotherapy_level,stadium_level,training_investment,youth_investment,current_season,current_week,last_training_cycle_at,ct_rooms_config,tactics_config,season_history,achievements,last_match_report,club_profile,ranking_history,friendlies_played_today,friendlies_played_season,last_friendly_date,last_youth_gen_at,youth_promoted_count,ranking,market_players,free_agents
ff6acf96-e975-48cb-87dc-53a4e354fd44,c9544dd0-3729-480b-bd00-315d75a45711,Meu Clube,Brasil,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,1053,65,3393091,2026-05-17 21:22:54.901975+00,2026-05-24 22:53:09.759959+00,,0,2026-05-17 21:22:54.901975+00,,0,2000,5.0,1.12,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
91b63a41-5f76-436e-a49d-4ffef783fc18,1c4c75aa-2561-441e-9c0e-9655aa005e34,Meu Clube,Brasil,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,1000,65,1000000,2026-05-17 21:22:54.901975+00,2026-05-18 03:00:00.731016+00,,0,2026-05-18 03:00:00.731016+00,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
ddd7f33f-7749-4442-abb0-93d57c86009b,3b612347-aa9f-41f8-9bee-59f26c562344,Meu Clube,Brasil,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,1000,65,1000000,2026-05-17 21:22:54.901975+00,2026-05-18 03:00:00.731016+00,,0,2026-05-18 03:00:00.731016+00,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
67f10b59-1221-4992-91eb-caf375807959,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,Meu Clube,Brasil,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,1000,65,1000000,2026-05-17 21:22:54.901975+00,2026-05-18 03:00:00.731016+00,,0,2026-05-18 03:00:00.731016+00,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
e741a019-b376-4650-8d10-cdd66c430f2f,e60b679b-7e44-484c-a91c-7b7c1ceba32e,MANAGER FC,BR,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,1000,65,1000000,2026-05-18 03:00:00.731016+00,2026-05-18 03:00:00.731016+00,,0,2026-05-18 03:00:00.731016+00,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
4b73a2fc-7ab5-42e4-9966-14b4f952721a,74125438-d6d6-471b-9669-b06add2421de,Meu Clube,Brasil,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,1000,65,1000000,2026-05-17 21:22:54.901975+00,2026-05-18 03:00:00.731016+00,,0,2026-05-18 03:00:00.731016+00,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
7023709c-4da5-4585-8c22-f3802940255b,320fcbb8-c3eb-43e7-a3eb-0f302b46897f,a,BR,a,#2563EB,#FFFFFF,#DC2626,,1000,65,1100000,2026-05-10 17:43:12.631472+00,2026-05-20 21:22:00.070081+00,,0,2026-05-18 03:00:00.731016+00,,0,2000,7.0,1.12,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
8d46bef8-7a41-4c78-aeed-498a59e45d45,68123140-4a25-44c0-adff-ea148c54423c,Meu Clube,Brasil,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,1071,66,4714080145,2026-05-17 21:22:54.901975+00,2026-05-25 00:15:24.867872+00,,0,2026-05-24 15:34:52.22+00,da395884-759d-4b28-a005-6f9376bc7495,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
5c7ba0b0-3d77-47fc-8889-9ad3ff051a30,fa156d76-dbb9-473c-8a51-a059f6741bd8,Time inicial teste,BR,Arena inicial teste,#DC2626,#FFFFFF,#FFFFFF,"",1000,65,1000000,2026-05-26 00:41:36.152119+00,2026-05-26 00:41:36.152119+00,,1000000,,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
d4a9850d-5f42-46ef-ba5a-8d2849348bbc,b192ae6f-3143-442f-8ac7-b2fb6c9dca14,ATLÉTICO DE MADRID,ES,ARENA LA CASA,#000000,#FFFFFF,#C0392B,"",1000,65,1000000,2026-05-27 13:26:57.701082+00,2026-05-27 13:26:57.701082+00,,1000000,,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
e6195409-90f2-4b51-b1f8-b5966ff9a8c7,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,Shop Test Club,Brasil,Estádio Municipal,#2563EB,#FFFFFF,#DC2626,,15000,50,1000000,2026-05-15 00:47:00.983821+00,2026-05-17 22:11:22.845987+00,,0,,,0,12750,5.0,1.25,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
78409b49-7e58-499d-bf12-e9207cb11067,dd9fd5b7-074d-4375-a26d-0a2e7c61f47c,Meg FC,Brasil,Arena M.E.G,#000000,#FFFFFF,#C0392B,"",1000,65,1000000,2026-05-27 14:38:04.587106+00,2026-05-27 14:38:04.587106+00,"{""icon"": ""cross-pattee"", ""shape"": ""classic"", ""pattern"": ""solid"", ""topStars"": 0, ""iconScale"": 1, ""showCrown"": false, ""bannerText"": """", ""iconMirror"": false, ""borderColor"": ""#C0392B"", ""borderWidth"": 3, ""detailColor"": ""#C0392B"", ""iconOffsetX"": 0, ""iconOffsetY"": 0, ""iconOpacity"": 1, ""showLaurels"": false, ""iconRotation"": 0, ""primaryColor"": ""#000000"", ""secondaryColor"": ""#FFFFFF""}",1000000,,,0,0,5.0,1.0,,0,1,0,1,1,0,0,1,1,2026-05-28 02:03:00.560596+00,{},{},[],[],,{},[],0,0,,,0,0,[],[]
