country,total_players,is_locked,max_capacity,bonus_budget,updated_at
ZA,20,f,400,0,2026-04-30 23:00:17.385+00
GH,20,f,400,0,2026-04-30 23:00:17.857+00
CM,20,f,400,0,2026-04-30 23:00:18.273+00
JP,20,f,400,0,2026-04-30 23:00:18.713+00
KR,20,f,400,0,2026-04-30 23:00:19.193+00
CN,20,f,400,0,2026-04-30 23:00:19.621+00
SA,20,f,400,0,2026-04-30 23:00:20.061+00
QA,20,f,400,0,2026-04-30 23:00:20.984+00
IR,20,f,400,0,2026-04-30 23:00:21.461+00
AU,20,f,400,0,2026-04-30 23:00:21.883+00
AE,20,f,400,0,2026-04-30 23:00:22.346+00
BR,44,f,400,0,2026-04-30 23:00:02.984+00
AR,20,f,400,0,2026-04-30 23:00:03.557+00
UY,20,f,400,0,2026-04-30 23:00:04.001+00
PY,20,f,400,0,2026-04-30 23:00:04.448+00
CL,20,f,400,0,2026-04-30 23:00:04.866+00
CO,20,f,400,0,2026-04-30 23:00:05.321+00
PE,20,f,400,0,2026-04-30 23:00:05.802+00
EC,20,f,400,0,2026-04-30 23:00:06.317+00
BO,20,f,400,0,2026-04-30 23:00:06.768+00
VE,20,f,400,0,2026-04-30 23:00:07.217+00
EN,20,f,400,0,2026-04-30 23:00:07.611+00
ES,41,f,400,0,2026-04-30 23:00:08.049+00
DE,20,f,400,0,2026-04-30 23:00:09.133+00
IT,20,f,400,0,2026-04-30 23:00:09.542+00
FR,20,f,400,0,2026-04-30 23:00:10.012+00
PT,20,f,400,0,2026-04-30 23:00:10.441+00
NL,20,f,400,0,2026-04-30 23:00:10.868+00
BE,20,f,400,0,2026-04-30 23:00:11.433+00
TR,20,f,400,0,2026-04-30 23:00:11.844+00
SC,20,f,400,0,2026-04-30 23:00:12.252+00
US,20,f,400,0,2026-04-30 23:00:12.711+00
MX,20,f,400,0,2026-04-30 23:00:13.115+00
CA,20,f,400,0,2026-04-30 23:00:13.485+00
CR,20,f,400,0,2026-04-30 23:00:13.912+00
HN,20,f,400,0,2026-04-30 23:00:14.326+00
PA,20,f,400,0,2026-04-30 23:00:14.74+00
EG,20,f,400,0,2026-04-30 23:00:15.13+00
MA,20,f,400,0,2026-04-30 23:00:15.598+00
TN,20,f,400,0,2026-04-30 23:00:15.99+00
NG,20,f,400,0,2026-04-30 23:00:16.474+00
SN,20,f,400,0,2026-04-30 23:00:16.919+00
