id,player_data,player_name,player_position,player_age,player_overall,visible_stats,origin,origin_club_name,available_from,available_until,created_at,player_potential
e949e36f-e596-4294-85d3-4933f89ccd24,"{""id"": ""38a57f73a"", ""age"": 20, ""name"": ""Vinícius Martins"", ""goals"": 0, ""morale"": 75, ""salary"": 6000, ""assists"": 0, ""history"": [], ""overall"": 60, ""stamina"": 85, ""contract"": 3, ""position"": ""ATA"", ""attributes"": {""speed"": 65, ""vision"": 65, ""heading"": 58, ""marking"": 59, ""passing"": 63, ""crossing"": 67, ""physical"": 56, ""shooting"": 62, ""workRate"": 60, ""composure"": 58, ""defending"": 65, ""dribbling"": 54, ""longShots"": 67, ""setPieces"": 62, ""aggression"": 56, ""goalkeeping"": 16, ""positioning"": 56}, ""gamesPlayed"": 0, ""personality"": ""dedicado"", ""trainingProgress"": 0}",Vinícius Martins,ATA,20,60,{},auction_unsold,⚡ ADM,2026-05-03 20:00:00.263132+00,2026-05-10 20:00:00.263132+00,2026-05-03 20:00:00.263132+00,
a1ec0b0a-d6f2-4570-a091-4e87e20ccc84,"{""id"": ""su067pkb7"", ""age"": 30, ""name"": ""Vinícius Rocha"", ""goals"": 0, ""morale"": 72, ""salary"": 500, ""assists"": 0, ""history"": [{""club"": ""ADM FC"", ""games"": 0, ""goals"": 0, ""assists"": 0, ""avgRating"": 0, ""seasonStart"": 1}], ""overall"": 61, ""stamina"": 88, ""contract"": 2, ""position"": ""ATA"", ""attributes"": {""speed"": 60, ""vision"": 52, ""heading"": 64, ""marking"": 46, ""passing"": 55, ""crossing"": 55, ""physical"": 58, ""shooting"": 65, ""workRate"": 57, ""composure"": 57, ""defending"": 40, ""dribbling"": 66, ""longShots"": 56, ""setPieces"": 55, ""aggression"": 54, ""goalkeeping"": 6, ""positioning"": 66}, ""gamesPlayed"": 1, ""personality"": ""temperamental"", ""trainingProgress"": 0}",Vinícius Rocha,ATA,30,61,{},auction_unsold,ADM FC,2026-05-17 20:00:00.425966+00,2026-05-24 20:00:00.425966+00,2026-05-17 20:00:00.425966+00,
e4ff7fdb-af1c-434c-bc93-695ad5c4973f,"{""id"": ""38a57f73a"", ""age"": 20, ""name"": ""Vinícius Martins"", ""goals"": 0, ""morale"": 75, ""salary"": 6000, ""status"": ""Livre"", ""assists"": 0, ""history"": [], ""overall"": 60, ""stamina"": 85, ""contract"": 3, ""position"": ""ATA"", ""attributes"": {""speed"": 65, ""vision"": 65, ""heading"": 58, ""marking"": 59, ""passing"": 63, ""crossing"": 67, ""physical"": 56, ""shooting"": 62, ""workRate"": 60, ""composure"": 58, ""defending"": 65, ""dribbling"": 54, ""longShots"": 67, ""setPieces"": 62, ""aggression"": 56, ""goalkeeping"": 16, ""positioning"": 56}, ""gamesPlayed"": 0, ""personality"": ""dedicado"", ""trainingProgress"": 0}",Vinícius Martins,ATA,20,60,"{""age"": 20, ""name"": ""Vinícius Martins"", ""overall"": 60, ""position"": ""ATA""}",auction_expired,⚡ ADM,2026-05-18 22:22:13.752394+00,2026-05-25 22:22:13.752394+00,2026-05-18 22:22:13.752394+00,
6a9c588d-0da0-4374-98bf-d1cd5612b065,"{""id"": ""su067pkb7"", ""age"": 30, ""name"": ""Vinícius Rocha"", ""goals"": 0, ""morale"": 72, ""salary"": 500, ""status"": ""Livre"", ""assists"": 0, ""history"": [{""club"": ""ADM FC"", ""games"": 0, ""goals"": 0, ""assists"": 0, ""avgRating"": 0, ""seasonStart"": 1}], ""overall"": 61, ""stamina"": 88, ""contract"": 2, ""position"": ""ATA"", ""attributes"": {""speed"": 60, ""vision"": 52, ""heading"": 64, ""marking"": 46, ""passing"": 55, ""crossing"": 55, ""physical"": 58, ""shooting"": 65, ""workRate"": 57, ""composure"": 57, ""defending"": 40, ""dribbling"": 66, ""longShots"": 56, ""setPieces"": 55, ""aggression"": 54, ""goalkeeping"": 6, ""positioning"": 66}, ""gamesPlayed"": 1, ""personality"": ""temperamental"", ""trainingProgress"": 0}",Vinícius Rocha,ATA,30,61,"{""age"": 30, ""name"": ""Vinícius Rocha"", ""overall"": 61, ""position"": ""ATA""}",auction_expired,ADM FC,2026-05-18 22:22:13.752394+00,2026-05-25 22:22:13.752394+00,2026-05-18 22:22:13.752394+00,
b8e42cc9-6f35-432d-9a70-e5fc77cd9868,"{""id"": ""4onp5ry36"", ""age"": 34, ""name"": ""Rogério Correia"", ""goals"": 2, ""morale"": 70, ""rarity"": ""Normal"", ""salary"": 973, ""assists"": 0, ""history"": [], ""overall"": 52, ""stamina"": 100, ""contract"": 0, ""position"": ""VOL"", ""potential"": 83, ""attributes"": {""speed"": 58, ""vision"": 47, ""heading"": 53, ""marking"": 44, ""passing"": 48, ""crossing"": 45, ""physical"": 54, ""shooting"": 54, ""workRate"": 50, ""composure"": 57, ""defending"": 57, ""dribbling"": 49, ""longShots"": 59, ""setPieces"": 52, ""aggression"": 53, ""goalkeeping"": 12.4, ""positioning"": 50}, ""gamesPlayed"": 25, ""personality"": ""preguicoso"", ""seasonRatings"": [6.5, 5.7, 6.1, 5.5, 6.7, 6.4, 5.4, 5.5, 6.2, 6.2]}",Rogério Correia,VOL,34,52,"{""age"": 34, ""name"": ""Rogério Correia"", ""goals"": 2, ""rarity"": ""Normal"", ""assists"": 0, ""overall"": 52, ""position"": ""VOL"", ""avgRating"": 6.02, ""potential"": 83, ""gamesPlayed"": 25}",generated,,2026-05-18 22:22:13.894598+00,2026-05-25 22:22:13.894598+00,2026-05-18 22:22:13.894598+00,83
578a4199-60ff-4f79-95a1-f6826b9142c2,"{""id"": ""1idnpkouq"", ""age"": 19, ""name"": ""Wesley Campos"", ""goals"": 0, ""morale"": 70, ""rarity"": ""Normal"", ""salary"": 2257, ""assists"": 0, ""history"": [], ""overall"": 56, ""stamina"": 100, ""contract"": 0, ""position"": ""LAT"", ""potential"": 56, ""attributes"": {""speed"": 63, ""vision"": 48, ""heading"": 60, ""marking"": 58, ""passing"": 62, ""crossing"": 59, ""physical"": 53, ""shooting"": 58, ""workRate"": 49, ""composure"": 58, ""defending"": 63, ""dribbling"": 55, ""longShots"": 50, ""setPieces"": 57, ""aggression"": 56, ""goalkeeping"": 17.200000000000003, ""positioning"": 53}, ""gamesPlayed"": 1, ""personality"": ""calmo"", ""seasonRatings"": [6.5]}",Wesley Campos,LAT,19,56,"{""age"": 19, ""name"": ""Wesley Campos"", ""goals"": 0, ""rarity"": ""Normal"", ""assists"": 0, ""overall"": 56, ""position"": ""LAT"", ""avgRating"": 6.5, ""potential"": 56, ""gamesPlayed"": 1}",generated,,2026-05-18 22:22:13.894598+00,2026-05-25 22:22:13.894598+00,2026-05-18 22:22:13.894598+00,56
5c509bf3-e3e5-4371-aebe-0d00c7aee5ea,"{""id"": ""665emuys4"", ""age"": 22, ""name"": ""Jonathan Barbosa"", ""goals"": 1, ""morale"": 70, ""rarity"": ""Normal"", ""salary"": 2022, ""assists"": 1, ""history"": [], ""overall"": 53, ""stamina"": 100, ""contract"": 0, ""position"": ""GOL"", ""potential"": 53, ""attributes"": {""speed"": 46, ""vision"": 56, ""heading"": 45, ""marking"": 55, ""passing"": 60, ""crossing"": 52, ""physical"": 59, ""shooting"": 57, ""workRate"": 52, ""composure"": 59, ""defending"": 57, ""dribbling"": 49, ""longShots"": 51, ""setPieces"": 41, ""aggression"": 53, ""goalkeeping"": 58, ""positioning"": 50}, ""gamesPlayed"": 12, ""personality"": ""dedicado"", ""seasonRatings"": [7.2, 6.9, 7.2, 7.6, 7.1, 7.1, 6.5, 7.3, 7, 7.9]}",Jonathan Barbosa,GOL,22,53,"{""age"": 22, ""name"": ""Jonathan Barbosa"", ""goals"": 1, ""rarity"": ""Normal"", ""assists"": 1, ""overall"": 53, ""position"": ""GOL"", ""avgRating"": 7.18, ""potential"": 53, ""gamesPlayed"": 12}",generated,,2026-05-18 22:22:13.894598+00,2026-05-25 22:22:13.894598+00,2026-05-18 22:22:13.894598+00,53
82412dc6-4890-4cb0-b854-dc7df575689b,"{""id"": ""5q95fu0qj"", ""age"": 16, ""name"": ""Felipe Carvalho"", ""goals"": 1, ""morale"": 70, ""rarity"": ""Normal"", ""salary"": 2592, ""assists"": 0, ""history"": [], ""overall"": 60, ""stamina"": 100, ""contract"": 0, ""position"": ""MEI"", ""potential"": 60, ""attributes"": {""speed"": 60, ""vision"": 65, ""heading"": 64, ""marking"": 55, ""passing"": 54, ""crossing"": 64, ""physical"": 64, ""shooting"": 66, ""workRate"": 63, ""composure"": 57, ""defending"": 62, ""dribbling"": 55, ""longShots"": 62, ""setPieces"": 50, ""aggression"": 56, ""goalkeeping"": 7, ""positioning"": 64}, ""gamesPlayed"": 12, ""personality"": ""dedicado"", ""seasonRatings"": [7.6, 7.9, 8.6, 8.6, 7.4, 8.5, 8, 7.2, 7.8, 7.9]}",Felipe Carvalho,MEI,16,60,"{""age"": 16, ""name"": ""Felipe Carvalho"", ""goals"": 1, ""rarity"": ""Normal"", ""assists"": 0, ""overall"": 60, ""position"": ""MEI"", ""avgRating"": 7.95, ""potential"": 60, ""gamesPlayed"": 12}",generated,,2026-05-18 22:22:13.894598+00,2026-05-25 22:22:13.894598+00,2026-05-18 22:22:13.894598+00,60
773c6e22-92f8-4247-8a5f-9d414b02ee38,"{""id"": ""fcjr8s22y"", ""age"": 18, ""name"": ""Diego Machado"", ""goals"": 0, ""morale"": 70, ""rarity"": ""Normal"", ""salary"": 2099, ""assists"": 0, ""history"": [], ""overall"": 54, ""stamina"": 100, ""contract"": 0, ""position"": ""MEI"", ""potential"": 54, ""attributes"": {""speed"": 50, ""vision"": 59, ""heading"": 56, ""marking"": 46, ""passing"": 53, ""crossing"": 52, ""physical"": 52, ""shooting"": 48, ""workRate"": 55, ""composure"": 52, ""defending"": 51, ""dribbling"": 56, ""longShots"": 60, ""setPieces"": 52, ""aggression"": 58, ""goalkeeping"": 9.8, ""positioning"": 53}, ""gamesPlayed"": 6, ""personality"": ""ambicioso"", ""seasonRatings"": [6.4, 6.6, 7.4, 6.5, 6.9, 6.4]}",Diego Machado,MEI,18,54,"{""age"": 18, ""name"": ""Diego Machado"", ""goals"": 0, ""rarity"": ""Normal"", ""assists"": 0, ""overall"": 54, ""position"": ""MEI"", ""avgRating"": 6.7, ""potential"": 54, ""gamesPlayed"": 6}",generated,,2026-05-18 22:22:13.894598+00,2026-05-25 22:22:13.894598+00,2026-05-18 22:22:13.894598+00,54
e8fd9155-4a76-49e1-ad68-c6b04b3a9391,"{""id"": ""lgv5634pw"", ""age"": 28, ""name"": ""Willian Monteiro"", ""goals"": 9, ""morale"": 70, ""rarity"": ""Normal"", ""salary"": 1622, ""assists"": 7, ""history"": [], ""overall"": 52, ""stamina"": 100, ""contract"": 0, ""position"": ""ATA"", ""potential"": 52, ""attributes"": {""speed"": 44, ""vision"": 49, ""heading"": 45, ""marking"": 44, ""passing"": 47, ""crossing"": 48, ""physical"": 53, ""shooting"": 55, ""workRate"": 49, ""composure"": 47, ""defending"": 54, ""dribbling"": 57, ""longShots"": 44, ""setPieces"": 48, ""aggression"": 46, ""goalkeeping"": 8.4, ""positioning"": 50}, ""gamesPlayed"": 78, ""personality"": ""ambicioso"", ""seasonRatings"": [5.9, 5.6, 5.8, 6.1, 6.3, 5.2, 5.9, 5.5, 5.3, 5.6]}",Willian Monteiro,ATA,28,52,"{""age"": 28, ""name"": ""Willian Monteiro"", ""goals"": 9, ""rarity"": ""Normal"", ""assists"": 7, ""overall"": 52, ""position"": ""ATA"", ""avgRating"": 5.72, ""potential"": 52, ""gamesPlayed"": 78}",generated,,2026-05-18 22:22:13.894598+00,2026-05-25 22:22:13.894598+00,2026-05-18 22:22:13.894598+00,52
