id,user_id,club_name,ranking_points,games_played,wins,draws,losses,last_change,current_competition,updated_at,created_at,prev_position,recent_form,titles_count,titles_data,winning_streak,points_history,goals_for,goals_against,division,coach_name,country,season_points,total_wins,total_draws,total_losses
7ae2605a-f8d8-4eac-98c0-ffac9130c6f2,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,FLM Team Fc,44,6,4,0,2,12,Liga,2026-05-26 22:35:03.832505+00,2026-04-25 18:21:51.671569+00,79,[],0,[],0,[],0,0,,,,0,0,0,0
e4d2fd88-4ee7-49fc-a8a7-a8efe3baba8c,1c4c75aa-2561-441e-9c0e-9655aa005e34,Real Zaragola,44,6,4,0,2,12,Liga,2026-05-26 22:35:05.611949+00,2026-05-01 16:21:04.317037+00,92,[],0,[],0,[],0,0,,,,0,0,0,0
cae48224-ce3e-4c0a-a389-a879bb7b83b0,a9e58515-c6a4-460b-ab59-03eeb69095fe,Nacional Bela Vista,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-09 23:00:03.703935+00,5,[],0,[],0,[],0,0,,,,0,0,0,0
7a09eb2b-0fba-4f71-adb8-8831c0500275,ddf153a6-9d63-491f-b284-3af49a3357be,SC Sol Nascente,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-10 01:00:03.841204+00,6,[],0,[],0,[],0,0,,,,0,0,0,0
7897c4b2-61a9-4075-952a-9411f277223b,43269bec-62c8-4967-b601-a5e04d1dcb9f,União Pedra Branca,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-09 23:00:02.91746+00,7,[],0,[],0,[],0,0,,,,0,0,0,0
67579e95-8aa5-4ab9-9a7f-628e8b3a509c,e60b679b-7e44-484c-a91c-7b7c1ceba32e,MANAGER FC,14,5,1,2,2,4,Liga,2026-05-26 22:35:04.725068+00,2026-05-18 00:40:20.726862+00,98,[],0,[],0,[],0,0,,,,0,0,0,0
ecd84582-8222-48f5-84fc-32ee70b69ccb,320fcbb8-c3eb-43e7-a3eb-0f302b46897f,a,42,6,3,2,1,4,Liga,2026-05-26 22:35:05.160972+00,2026-05-06 22:16:58.730509+00,91,[],0,[],0,[],0,0,,,,0,0,0,0
bf15b6c7-ae46-4aa1-acf0-f2240a50c777,fa156d76-dbb9-473c-8a51-a059f6741bd8,Time inicial teste,1005,4,0,2,2,4,Liga,2026-05-26 22:35:04.502311+00,2026-05-26 00:41:36.152119+00,0,[],0,[],0,[],0,0,,,BR,0,0,0,0
b79be7ff-1507-4731-b322-5156ae1326fc,c28db22f-4264-4149-9309-e99bc823abe6,SC Sol Nascente,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-09 23:00:03.281669+00,8,[],0,[],0,[],0,0,,,,0,0,0,0
ba73fa4a-685c-47a7-92c5-021bdb67570d,7bd4950f-aa2d-4094-8e03-89385448665f,Inter Porto Alegre,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-09 23:00:03.506093+00,9,[],0,[],0,[],0,0,,,,0,0,0,0
49f04d04-320d-4afb-bd80-8e1f892f76ad,3b612347-aa9f-41f8-9bee-59f26c562344,FLM,65,14,7,3,4,-6,Liga,2026-05-26 22:35:04.935141+00,2026-04-27 02:18:25.436217+00,2,[],0,[],0,[],0,0,,,,0,0,0,0
3e5630b7-bc13-452e-8e36-4860d9841b98,74125438-d6d6-471b-9669-b06add2421de,UNC SPORT CLUB,25,7,1,4,2,4,Liga,2026-05-26 22:35:05.160972+00,2026-04-27 01:20:06.615535+00,4,[],0,[],0,[],0,0,,,,0,0,0,0
89382f58-28f6-4dcf-a254-51b94ca56261,c9544dd0-3729-480b-bd00-315d75a45711,ABC FC,93,10,6,4,0,4,Liga,2026-05-26 22:35:05.409467+00,2026-04-27 01:20:06.615535+00,1,"[""V""]",0,[],1,"[{""date"": ""2026-05-24T22:45:25.288Z"", ""delta"": 21, ""points"": 77, ""competition"": ""Brasileirão Série A""}]",0,0,,,,0,0,0,0
b6acef9a-b1cc-4edb-bffd-b1cf56cd6ac7,68123140-4a25-44c0-adff-ea148c54423c,ADM FC,61,32,12,8,12,4,Liga,2026-05-26 22:35:05.934583+00,2026-04-25 18:38:50.429525+00,3,"[""E"", ""E""]",0,[],0,"[{""date"": ""2026-05-24T23:06:35.542Z"", ""delta"": 3, ""points"": 48, ""competition"": ""Amistoso vs BOT""}, {""date"": ""2026-05-24T23:06:52.283Z"", ""delta"": 3, ""points"": 51, ""competition"": ""Amistoso vs BOT""}]",0,0,,,,0,0,0,0
01dbb1c0-32f8-47a3-8e42-c96eebf0b7c3,85dc4eac-36ad-4fee-acfb-f03d71c7ae0a,Esporte Serra Alta,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-10 04:00:05.349082+00,10,[],0,[],0,[],0,0,,,,0,0,0,0
dc808036-e6d9-4734-8fa4-4abc2005cd4e,781f2396-180a-4e19-8c09-e8bdf62cf136,Atlético Campo Grande,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-10 05:00:02.913359+00,11,[],0,[],0,[],0,0,,,,0,0,0,0
4448a24f-092a-47a7-b803-b870914bd244,a6864c14-8213-4a08-aa89-710c873b2768,FC Boa Vista,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-10 01:00:04.209691+00,12,[],0,[],0,[],0,0,,,,0,0,0,0
5e335056-c8d2-48e9-b255-8e811a65d33f,550b0334-7a3a-4c43-b968-cb6ab5d05e58,FC Nova Esperança,14,1,1,0,0,14,Copa,2026-05-24 23:06:51.698657+00,2026-05-10 05:00:03.1154+00,13,[],0,[],0,[],0,0,,,,0,0,0,0
