id,user_id,notification_key,read_at
6fd9e904-155a-403d-9dd9-b71059f23bb1,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,db-3b4e74a0-8235-42e1-983d-58daeaeafee1,2026-04-25 18:21:55.586+00
fd9621e5-06b6-4cd7-a9ed-38325ed7bc50,68123140-4a25-44c0-adff-ea148c54423c,db-04066f64-ce3f-4f22-a696-b4a3b08aac10,2026-04-25 18:26:48.842+00
cc4f9375-980d-4e6b-9a51-a578b88a5e1e,74125438-d6d6-471b-9669-b06add2421de,db-82733930-48d4-470a-ba74-5ff3d15be979,2026-04-25 23:45:55.775+00
357c885a-6272-4368-8943-7ddf7499bb6e,74125438-d6d6-471b-9669-b06add2421de,db-480f8e82-ce81-4070-b62f-57c8133c7940,2026-04-25 23:45:56.153+00
bdf63beb-8d9a-46a8-bf20-1873abbef6fc,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,db-a2281220-1544-423b-98bd-2ec359f90a76,2026-04-26 21:11:00.617+00
f90556c7-03d9-4c01-9843-76d2dde08313,c9544dd0-3729-480b-bd00-315d75a45711,db-dd075aa1-8e87-4577-b700-fbc676d056d7,2026-04-27 00:25:05.891+00
eded7aac-05a2-4a6e-b6ac-bfade51fd745,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,expiring,2026-04-27 01:02:42.511+00
af36e88f-bbbc-4b07-b81e-6b6eb54f34a2,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,db-b237b69f-6623-4cb2-b931-781a04a5c764,2026-04-27 01:03:57.172+00
4310a03c-544d-4c69-a993-13b34765ef45,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,db-2c6bf2c4-a33a-4e1f-b2b2-87ba0167132f,2026-04-27 01:16:57.244+00
ceb0c2e2-8643-45b2-8292-64a530b8d3d2,3b612347-aa9f-41f8-9bee-59f26c562344,db-87b460da-ec11-43d7-adf3-e912e144d779,2026-04-27 02:39:48.81+00
7f936503-4ba6-4eee-9a05-58ec1714a100,3b612347-aa9f-41f8-9bee-59f26c562344,expiring,2026-04-27 02:40:49.223+00
