id,name,description,category,rarity,price_cents,bonus_data,image_url,active,created_at,duration_days,min_fans
physio_rehab,Centro de Reabilitação,Estrutura premium para recuperação de lesões.,physio,epic,1,"{""type"": ""rehab_center""}",https://images.unsplash.com/photo-1576091160550-2173dba999ef?w=500&q=80,t,2026-05-15 00:36:52.846419+00,,8000
spons_master_t1,NovaSports Master,Patrocinador máster inicial. Estampa o peito da camisa e injeta capital diário.,sponsorship,common,1,"{""sub_type"": ""master"", ""winBonus"": 5000, ""daily_cash"": 10000, ""titleBonus"": 50000, ""immediate_cash"": 50000, ""dinheiroSemanal"": 70000}",,t,2026-05-17 21:05:33.443741+00,30,1000
spons_master_t2,Banco Verão Master,Patrocínio máster de um grande banco regional. Renda diária forte.,sponsorship,rare,1,"{""sub_type"": ""master"", ""winBonus"": 15000, ""daily_cash"": 35000, ""titleBonus"": 200000, ""immediate_cash"": 250000, ""dinheiroSemanal"": 245000}",,t,2026-05-17 21:05:33.443741+00,30,5000
spons_master_t3,GlobalTech Master,"Multinacional de tecnologia. Contrato máster pesado, com prêmios por título.",sponsorship,epic,1,"{""sub_type"": ""master"", ""winBonus"": 40000, ""daily_cash"": 90000, ""titleBonus"": 600000, ""immediate_cash"": 700000, ""dinheiroSemanal"": 630000}",,t,2026-05-17 21:05:33.443741+00,30,15000
spons_master_t4,OroGold Master,Marca premium global. O contrato máster mais cobiçado da liga.,sponsorship,legendary,1,"{""sub_type"": ""master"", ""winBonus"": 120000, ""daily_cash"": 250000, ""titleBonus"": 2000000, ""immediate_cash"": 2500000, ""dinheiroSemanal"": 1750000}",,t,2026-05-17 21:05:33.443741+00,30,50000
spons_uniforme_t1,FitWear Uniforme,Marca de roupa esportiva. Estampa nas mangas do uniforme.,sponsorship,common,1,"{""sub_type"": ""uniforme"", ""winBonus"": 3000, ""daily_cash"": 8000, ""titleBonus"": 30000, ""immediate_cash"": 40000, ""dinheiroSemanal"": 56000}",,t,2026-05-17 21:05:33.443741+00,30,2000
uniform_launch_slot,Lançamento de Coleção 2026,Desbloqueia a criação de um novo uniforme com ciclo completo de vendas e hype da torcida.,uniform,epic,1,"{""aumentaVendas"": true}",,t,2026-05-16 00:58:18.390596+00,,1000
customization_unlock,Personalização Premium,"Desbloqueia edição ilimitada do nome do clube, nome do estádio e escudo.",customization,epic,1,"{""type"": ""customization_unlock""}",,t,2026-05-20 22:59:20.69885+00,,0
spons_uniforme_t2,StreetPro Uniforme,Marca de moda urbana. Boa visibilidade nas costas da camisa.,sponsorship,rare,1,"{""sub_type"": ""uniforme"", ""winBonus"": 10000, ""daily_cash"": 28000, ""titleBonus"": 150000, ""immediate_cash"": 180000, ""dinheiroSemanal"": 196000}",,t,2026-05-17 21:05:33.443741+00,30,8000
spons_uniforme_t3,KingSport Uniforme,Patrocínio premium para todo o uniforme (mangas + calção).,sponsorship,epic,1,"{""sub_type"": ""uniforme"", ""winBonus"": 30000, ""daily_cash"": 75000, ""titleBonus"": 500000, ""immediate_cash"": 900000, ""dinheiroSemanal"": 525000}",,t,2026-05-17 21:05:33.443741+00,30,25000
