id,category,name,description,price_cents,duration_days,min_fans_required,bonus_data,active,created_at,updated_at
mkt_small,marketing,Campanha Pequena,Atrai novos torcedores diariamente.,1,5,0,"{""max_daily_fans"": 500, ""min_daily_fans"": 50}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
mkt_medium,marketing,Campanha Média,Aumenta consideravelmente sua base de fãs.,1,5,100,"{""max_daily_fans"": 2000, ""min_daily_fans"": 500}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
mkt_large,marketing,Campanha Grande,Marketing massivo para grandes clubes.,1,5,500,"{""max_daily_fans"": 5000, ""min_daily_fans"": 2000}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
member_bronze,memberships,Plano Bronze,Início do programa de sócios.,1,7,0,"{""daily_members"": 25}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
member_silver,memberships,Plano Prata,Fidelização intermediária de sócios.,1,7,100,"{""daily_members"": 75}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
member_gold,memberships,Plano Ouro,Crescimento sólido de sócios.,1,7,300,"{""daily_members"": 150}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
member_diamond,memberships,Plano Diamond,Prestígio e muitos sócios novos.,1,7,700,"{""daily_members"": 350}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
member_elite,memberships,Plano Elite FLM,O ápice do programa de sócios.,1,7,1500,"{""daily_members"": 750}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
sponsor_betmaster,sponsorships,BetMaster,Patrocinador confiável com bônus diário.,1,30,50,"{""daily_cash"": 15000, ""immediate_cash"": 100000}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
sponsor_rexbet,sponsorships,RexBet,Focado em grandes parcerias.,1,30,100,"{""daily_cash"": 25000, ""immediate_cash"": 300000}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
sponsor_brazucabet,sponsorships,BrazucaBet,O patrocinador da torcida.,1,30,250,"{""daily_cash"": 40000, ""immediate_cash"": 500000}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
sponsor_maxwin,sponsorships,MaxWin,Máximo retorno para o seu clube.,1,30,500,"{""daily_cash"": 60000, ""immediate_cash"": 800000}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
sponsor_golbet,sponsorships,GolBet,Goleada de lucros para o seu time.,1,30,1000,"{""daily_cash"": 120000, ""immediate_cash"": 1500000}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
sponsor_elite,sponsorships,FLM Sponsor Elite,Patrocínio exclusivo para a elite.,1,30,3000,"{""daily_cash"": 250000, ""immediate_cash"": 3000000}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
custom_badge,customization,Badge Premium,Badge exclusiva para mostrar seu status.,1,,0,"{""type"": ""exclusive_badge""}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
custom_name,customization,Nome Colorido,Altere a cor do nome do seu clube.,1,,0,"{""type"": ""colored_name""}",t,2026-05-14 00:14:10.313214+00,2026-05-14 00:14:10.313214+00
