id,user_id,type,title,message,icon,data,read_at,created_at,category,priority,link,actions
3b4e74a0-8235-42e1-983d-58daeaeafee1,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,success,Bem-vindo ao FLM 26!,"Parabéns pela criação do FLM Team Fc! Dicas: treine seus jogadores diariamente, melhore o CT e entre em ligas para competir online. Boa sorte, Manager!",👋,,2026-04-25 18:21:55.313+00,2026-04-25 18:20:59.370892+00,Club,medium,,
04066f64-ce3f-4f22-a696-b4a3b08aac10,68123140-4a25-44c0-adff-ea148c54423c,success,Bem-vindo ao FLM 26!,"Olá, Manager! Dicas: treine seus jogadores diariamente, melhore o CT e entre em ligas para competir online. Boa sorte! ⚽",👋,,2026-04-25 18:26:48.538+00,2026-04-25 18:12:53.370248+00,Club,medium,,
82733930-48d4-470a-ba74-5ff3d15be979,74125438-d6d6-471b-9669-b06add2421de,success,Bem-vindo ao FLM 26!,"Parabéns pela criação do UNC SPORT CLUB! Dicas: treine seus jogadores diariamente, melhore o CT e entre em ligas para competir online. Boa sorte, Manager!",👋,,2026-04-25 23:45:55.497+00,2026-04-25 23:45:50.110226+00,Club,medium,,
480f8e82-ce81-4070-b62f-57c8133c7940,74125438-d6d6-471b-9669-b06add2421de,success,Bem-vindo ao FLM 26!,"Parabéns pela criação do UNC SPORT CLUB! Dicas: treine seus jogadores diariamente, melhore o CT e entre em ligas para competir online. Boa sorte, Manager!",👋,,2026-04-25 23:45:55.857+00,2026-04-25 23:45:50.249644+00,Club,medium,,
38662e12-3718-4986-bb3b-38ea4d735bc0,68123140-4a25-44c0-adff-ea148c54423c,warning,Nova proposta por Carlos Oliveira!,FLM Team Fc ofereceu R$610k por Carlos Oliveira (OVR 61). Salário: R$6100/mês • Contrato: 2 anos. Confira na aba Propostas do Mercado!,📩,,2026-04-26 20:58:52.611+00,2026-04-26 13:18:51.064359+00,Club,medium,,
a2281220-1544-423b-98bd-2ec359f90a76,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,auction_won,🏆 Leilão vencido!,Você arrematou Wesley Ribeiro por R$ 1400000,🏆,"{""amount"": 1400000, ""auction_id"": ""9ad5c54e-621c-466f-aed7-ce2d1ae003e6"", ""player_data"": {""id"": ""5f93a45b9"", ""age"": 28, ""name"": ""Wesley Ribeiro"", ""goals"": 0, ""morale"": 75, ""salary"": 7000, ""assists"": 0, ""history"": [], ""overall"": 70, ""stamina"": 85, ""contract"": 3, ""position"": ""VOL"", ""attributes"": {""speed"": 76, ""vision"": 74, ""heading"": 67, ""marking"": 67, ""passing"": 77, ""crossing"": 69, ""physical"": 74, ""shooting"": 74, ""workRate"": 75, ""composure"": 77, ""defending"": 67, ""dribbling"": 76, ""longShots"": 67, ""setPieces"": 75, ""aggression"": 64, ""goalkeeping"": 20, ""positioning"": 75}, ""gamesPlayed"": 0, ""personality"": ""dedicado"", ""trainingProgress"": 0}}",2026-04-26 21:11:00.339+00,2026-04-26 20:00:00.17403+00,Club,medium,,
dd075aa1-8e87-4577-b700-fbc676d056d7,c9544dd0-3729-480b-bd00-315d75a45711,success,Bem-vindo ao FLM 26!,"Parabéns pela criação do ABC FC! Dicas: treine seus jogadores diariamente, melhore o CT e entre em ligas para competir online. Boa sorte, Manager!",👋,,2026-04-27 00:25:03.835+00,2026-04-27 00:24:56.643386+00,Club,medium,,
b237b69f-6623-4cb2-b931-781a04a5c764,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,friendly_accepted,Amistoso aceito!,ADM FC aceitou sua partida aberta.,⚽,"{""opponent"": ""ADM FC"", ""invite_id"": ""ab9be44e-31d6-414d-a25e-8838c9b3aa16""}",2026-04-27 01:03:56.733+00,2026-04-27 01:03:37.070958+00,Club,medium,,
2c6bf2c4-a33a-4e1f-b2b2-87ba0167132f,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,match_auto_simulated,Partida simulada automaticamente,🟢 Vitória 2x0 vs ADM FC (Amistoso),🤖,"{""my_goals"": 2, ""opponent"": ""ADM FC"", ""opp_goals"": 0, ""competition"": ""Amistoso"", ""auto_simulated"": true}",2026-04-27 01:16:56.97+00,2026-04-27 01:10:01.285838+00,Club,medium,,
be3a7fda-bb86-41c8-a16a-4150245c6319,68123140-4a25-44c0-adff-ea148c54423c,match_auto_simulated,Partida simulada automaticamente,🔴 Derrota 0x2 vs FLM Team Fc (Amistoso),🤖,"{""my_goals"": 0, ""opponent"": ""FLM Team Fc"", ""opp_goals"": 2, ""competition"": ""Amistoso"", ""auto_simulated"": true}",2026-04-27 01:17:20.184+00,2026-04-27 01:10:01.329125+00,Club,medium,,
87b460da-ec11-43d7-adf3-e912e144d779,3b612347-aa9f-41f8-9bee-59f26c562344,success,Bem-vindo ao FLM 26!,"Parabéns pela criação do FLM! Dicas: treine seus jogadores diariamente, melhore o CT e entre em ligas para competir online. Boa sorte, Manager!",👋,,2026-04-27 02:39:48.533+00,2026-04-27 02:18:25.77848+00,Club,medium,,
b6eaf5aa-3af0-4714-91f2-2d0a3d38573f,68123140-4a25-44c0-adff-ea148c54423c,friendly_accepted,Amistoso aceito!,ABC FC aceitou sua partida aberta.,⚽,"{""opponent"": ""ABC FC"", ""invite_id"": ""d1402a03-722d-4512-9c6c-19bf951bed20""}",2026-04-30 22:12:16.231+00,2026-04-30 22:05:21.947056+00,Club,medium,,
f34964cd-2e8c-457f-abf8-c3bc8bbbf98b,68123140-4a25-44c0-adff-ea148c54423c,match_auto_simulated,Partida simulada automaticamente,🟢 Vitória 2x0 vs ABC FC (Amistoso),🤖,"{""my_goals"": 2, ""opponent"": ""ABC FC"", ""opp_goals"": 0, ""competition"": ""Amistoso"", ""auto_simulated"": true}",2026-04-30 22:12:16.418+00,2026-04-30 22:12:08.714825+00,Club,medium,,
96547b85-c89a-4a41-aef1-2aaac781ecf9,c9544dd0-3729-480b-bd00-315d75a45711,match_auto_simulated,Partida simulada automaticamente,🔴 Derrota 0x2 vs ADM FC (Amistoso),🤖,"{""my_goals"": 0, ""opponent"": ""ADM FC"", ""opp_goals"": 2, ""competition"": ""Amistoso"", ""auto_simulated"": true}",2026-04-30 22:18:18.028+00,2026-04-30 22:12:09.050358+00,Club,medium,,
d04921e0-9f42-4329-a216-eb3019c7a9f1,68123140-4a25-44c0-adff-ea148c54423c,league_enrolled,Inscrição confirmada na liga,Você foi inscrito na liga Brasileirão Série A. Horário dos jogos: 18:00 (BRT). Boa sorte na competição!,🏆,"{""kickoff"": ""18:00"", ""league_id"": ""b3737ddf-dc57-482a-b7c5-54c1605df723"", ""league_name"": ""Brasileirão Série A""}",2026-05-01 14:45:24.255+00,2026-05-01 14:38:38.929544+00,Club,medium,,
a27144c8-9d0c-4fca-8bfa-3db57e0b9771,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,league_enrolled,Inscrição confirmada na liga,Você foi inscrito na liga Brasileirão Série A. Horário dos jogos: 18:00 (BRT). Boa sorte na competição!,🏆,"{""kickoff"": ""18:00"", ""league_id"": ""b3737ddf-dc57-482a-b7c5-54c1605df723"", ""league_name"": ""Brasileirão Série A""}",2026-05-01 14:49:03.571+00,2026-05-01 14:38:38.929544+00,Club,medium,,
e4b0d2a4-c30a-4786-be1b-108f749497ab,68123140-4a25-44c0-adff-ea148c54423c,friendly_accepted,Amistoso aceito!,FLM Team Fc aceitou sua partida aberta.,⚽,"{""opponent"": ""FLM Team Fc"", ""invite_id"": ""9ef2368c-939f-482c-bd04-38c21e7fa1d7""}",2026-05-01 14:52:22.106+00,2026-05-01 14:50:48.265374+00,Club,medium,,
c90f0a2a-ec4d-4070-92f2-daea87a3a3e4,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,match_auto_simulated,Partida simulada automaticamente,🔴 Derrota 2x5 vs ADM FC (Amistoso),🤖,"{""my_goals"": 2, ""opponent"": ""ADM FC"", ""opp_goals"": 5, ""competition"": ""Amistoso"", ""auto_simulated"": true}",,2026-05-01 14:56:01.021433+00,Club,medium,,
7ed18a02-407b-4128-b014-d4c9a20fe7f9,68123140-4a25-44c0-adff-ea148c54423c,match_auto_simulated,Partida simulada automaticamente,🟢 Vitória 5x2 vs FLM Team Fc (Amistoso),🤖,"{""my_goals"": 5, ""opponent"": ""FLM Team Fc"", ""opp_goals"": 2, ""competition"": ""Amistoso"", ""auto_simulated"": true}",2026-05-01 16:00:21.768+00,2026-05-01 14:56:00.977199+00,Club,medium,,
52f9418c-ba72-46cc-bc37-741b4c5295b1,74125438-d6d6-471b-9669-b06add2421de,league_enrolled,Inscrição confirmada na liga,Você foi inscrito na liga La Liga. Horário dos jogos: 17:00 (BRT). Boa sorte na competição!,🏆,"{""kickoff"": ""17:00"", ""league_id"": ""bca86227-aec2-49ed-866b-93f17cc88fd4"", ""league_name"": ""La Liga""}",2026-05-06 22:48:45.926+00,2026-05-01 14:38:38.929544+00,Club,medium,,
8529f02a-e20f-4e29-8c7a-a4a1369a87dc,3b612347-aa9f-41f8-9bee-59f26c562344,league_enrolled,Inscrição confirmada na liga,Você foi inscrito na liga Brasileirão Série A. Horário dos jogos: 18:00 (BRT). Boa sorte na competição!,🏆,"{""kickoff"": ""18:00"", ""league_id"": ""b3737ddf-dc57-482a-b7c5-54c1605df723"", ""league_name"": ""Brasileirão Série A""}",2026-05-01 16:14:07.353+00,2026-05-01 14:38:38.929544+00,Club,medium,,
2802f3f2-a3b2-4c80-871b-c9c2890ebf83,1c4c75aa-2561-441e-9c0e-9655aa005e34,success,Bem-vindo ao FLM 26!,"Parabéns pela criação do Real Zaragola! Dicas: treine seus jogadores diariamente, melhore o CT e entre em ligas para competir online. Boa sorte, Manager!",👋,,2026-05-01 16:21:22.904+00,2026-05-01 16:21:04.728763+00,Club,medium,,
ae635a80-e1ce-4d69-b608-77efcaeeb92f,c9544dd0-3729-480b-bd00-315d75a45711,league_enrolled,Inscrição confirmada na liga,Você foi inscrito na liga Brasileirão Série A. Horário dos jogos: 18:00 (BRT). Boa sorte na competição!,🏆,"{""kickoff"": ""18:00"", ""league_id"": ""b3737ddf-dc57-482a-b7c5-54c1605df723"", ""league_name"": ""Brasileirão Série A""}",2026-05-02 23:51:28.925+00,2026-05-01 14:38:38.929544+00,Club,medium,,
6dcd283a-bbfb-4232-aed5-61551485e76a,1c4c75aa-2561-441e-9c0e-9655aa005e34,league_enrolled,Inscrição confirmada na liga,Você foi inscrito na liga La Liga. Horário dos jogos: 17:00 (BRT). Boa sorte na competição!,🏆,"{""kickoff"": ""17:00"", ""league_id"": ""20bbd13f-5e18-4864-bf8c-ea0247cf9256"", ""league_name"": ""La Liga""}",2026-05-01 16:21:20.564+00,2026-05-01 16:21:04.317037+00,Club,medium,,
f30a491a-a287-4db8-b619-c2022916715d,1c4c75aa-2561-441e-9c0e-9655aa005e34,match_auto_simulated,Partida simulada automaticamente,🔴 Derrota 1x3 vs ADM FC (Amistoso),🤖,"{""my_goals"": 1, ""opponent"": ""ADM FC"", ""opp_goals"": 3, ""competition"": ""Amistoso"", ""auto_simulated"": true}",,2026-05-01 16:24:01.010607+00,Club,medium,,
47702416-303d-4efe-8a3f-0fbe07c94956,1c4c75aa-2561-441e-9c0e-9655aa005e34,match_auto_simulated,Partida simulada automaticamente,🔴 Derrota 0x1 vs Internacional ES (ES La Liga),🤖,"{""my_goals"": 0, ""opponent"": ""Internacional ES"", ""opp_goals"": 1, ""competition"": ""ES La Liga"", ""auto_simulated"": true}",,2026-05-01 20:18:01.828347+00,Club,medium,,
ca946d0a-3294-48e4-99ca-c2d837c71cc9,3b612347-aa9f-41f8-9bee-59f26c562344,match_auto_simulated,Partida simulada automaticamente,🔴 Derrota 0x2 vs Internacional BR (BR Brasileirão Série A),🤖,"{""my_goals"": 0, ""opponent"": ""Internacional BR"", ""opp_goals"": 2, ""competition"": ""BR Brasileirão Série A"", ""auto_simulated"": true}",,2026-05-01 21:06:04.031329+00,Club,medium,,
8bfc4b6c-67e5-44ba-acf3-087b5a2fc2e1,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,match_auto_simulated,Partida simulada automaticamente,🔴 Derrota 0x1 vs ADM FC (BR Brasileirão Série A),🤖,"{""my_goals"": 0, ""opponent"": ""ADM FC"", ""opp_goals"": 1, ""competition"": ""BR Brasileirão Série A"", ""auto_simulated"": true}",,2026-05-01 21:06:04.379505+00,Club,medium,,
146f5423-6ab3-438c-9da5-5957ede56680,68123140-4a25-44c0-adff-ea148c54423c,match_auto_simulated,Partida simulada automaticamente,🟢 Vitória 3x1 vs Real Zaragola (Amistoso),🤖,"{""my_goals"": 3, ""opponent"": ""Real Zaragola"", ""opp_goals"": 1, ""competition"": ""Amistoso"", ""auto_simulated"": true}",2026-05-01 23:04:59.663+00,2026-05-01 16:24:00.966972+00,Club,medium,,
