id,league_id,team_id,points,played,wins,draws,losses,goals_for,goals_against,goal_diff,season_year,updated_at
24d9c314-9936-41c9-b683-f006a8a18476,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,d1214869-a00f-4636-928e-afe7dd170a76,9,10,2,3,5,16,24,-8,2026,2026-05-26 22:35:05.160972+00
d0901bde-d3ca-44e4-9cf6-24fbe35ca02c,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,b0eab5aa-8bf0-4787-abdf-5175f5efc4a6,9,10,2,3,5,13,20,-7,2026,2026-05-26 22:35:05.409467+00
b8cd0b9a-8a56-43b0-b304-5549888d9dca,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,bb59e55f-4963-4b32-bf38-ca3373b50e18,15,10,4,3,3,21,17,4,2026,2026-05-26 22:35:05.409467+00
9251b8de-b620-4e67-9620-6867d0971f43,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,0035bd89-7792-4b23-bcb5-1fa96ce04999,15,10,4,3,3,27,21,6,2026,2026-05-26 22:35:05.611949+00
2ffc0763-d56f-4e15-8362-69b9ccac7e52,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,12186b51-785f-48e2-bf98-5297049f5151,13,10,4,1,5,21,28,-7,2026,2026-05-26 22:35:05.611949+00
d42e4282-828a-4313-aa6d-e7030fb4635b,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,11204548-ef56-41bb-8525-c39645e56c14,12,10,3,3,4,14,14,0,2026,2026-05-26 22:35:05.934583+00
49a96862-8373-45cb-b528-8aeea6be7790,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,5e6795fa-b8fb-45ea-a395-cb5b37d41b63,6,10,1,3,6,14,22,-8,2026,2026-05-26 22:35:05.934583+00
f12606ac-e0ec-4930-bcdf-b851e2d618f2,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,86565065-9546-46dd-81a0-0a34cc2520b1,16,25,3,7,15,23,41,-18,2026,2026-05-27 17:39:25.377347+00
ede91cae-8f06-4a17-ae81-7b4b6a3a1ddd,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,f798ddf3-cc7e-4192-bf39-ba02037de636,32,26,9,5,12,26,35,-9,2026,2026-05-27 17:39:26.461308+00
e3648ea2-4a10-48fe-872c-36fd1768dda8,b01ef2e0-298f-4313-a093-680715e25fec,8e8e5739-6252-4672-924a-914065368c68,42,27,13,3,11,40,36,4,2026,2026-05-27 17:39:37.819246+00
5001a13a-c872-4a08-8802-974a3020d02c,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,2c8df76c-a28d-4753-b794-9bb1b5a7f162,43,24,12,7,5,32,26,6,2026,2026-05-27 17:39:18.226535+00
4e03c2e8-5cef-419d-b082-fa9ed834787b,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,0804026a-c72a-42de-98d7-a67f362f6af3,12,26,2,6,18,18,52,-34,2026,2026-05-27 17:39:27.224161+00
f689ab1c-56ef-4668-a8b7-6b9cc03e8236,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,0ba1e022-1272-40f8-9c21-eb2c763026c0,33,26,10,3,13,32,38,-6,2026,2026-05-27 17:39:26.557741+00
a0b7b483-9788-48cc-925d-fe570b27130c,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,d15a1705-2a36-46a8-aec8-8913c3919e58,40,24,12,4,8,27,21,6,2026,2026-05-27 17:39:17.530539+00
00eb304c-2639-4fa4-a346-442453c46f9a,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,5d8606ac-4c37-4a2b-8c05-11cd052f3e66,31,24,8,7,9,33,30,3,2026,2026-05-27 17:39:21.264156+00
db0daf60-9e04-42b5-a29b-62d1b1789b71,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,3c43da40-8301-4ae8-aa3c-86c69b5ec35f,23,25,6,5,14,31,40,-9,2026,2026-05-27 17:39:26.557741+00
7d3853c8-f62a-4c08-a315-d791bdc0507e,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,ad703211-2cf4-4146-9945-1183a37ad515,38,24,11,5,8,28,25,3,2026,2026-05-27 17:39:17.637244+00
8379562a-0012-429d-9595-bba6c533c7da,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,dba149bf-a1f1-43cc-af05-c455da75d115,42,24,13,3,8,33,25,8,2026,2026-05-27 17:39:22.054863+00
fb6e4a23-761a-4cb0-8287-9dd589955d98,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,a9771059-dbd0-4c33-8254-3aaf14885c9c,45,24,14,3,7,33,25,8,2026,2026-05-27 17:39:22.140009+00
d8ba885d-7673-4118-8fd8-4134dd6ed734,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,a33d67f9-f5ce-4f0e-8759-11e3bd705ac6,17,10,5,2,3,21,18,3,2026,2026-05-26 22:35:03.832505+00
9b7e22e3-6233-4174-807e-ed141a9c603c,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,e0e4ca78-504f-497c-8096-ff4d4e9ee041,8,10,2,2,6,17,25,-8,2026,2026-05-26 22:35:03.832505+00
a0beb44a-62ff-48d7-97ae-abe6ef31f474,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,fae5418f-5618-4583-a774-fe4643550fd2,12,10,2,6,2,19,18,1,2026,2026-05-26 22:35:04.502311+00
a369e172-22c9-4e37-8fd8-1c708a2fef5c,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,c76f139d-344d-4254-9516-933e540cbb2c,16,10,4,4,2,21,17,4,2026,2026-05-26 22:35:04.502311+00
65875bdf-5bed-4297-bc00-50ff029cd083,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,b5b52f3a-7a6e-4cd6-9332-c2b874e3398b,18,11,5,3,3,22,21,1,2026,2026-05-26 22:35:04.725068+00
1714643b-1b7a-4c5a-9c34-f75b0fa13d1a,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,47bddd3b-af10-40b5-ae88-3ae340f13758,16,11,4,4,3,19,17,2,2026,2026-05-26 22:35:04.725068+00
e6a40cd2-8c65-4def-a66b-14b00a702f5e,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,3df8e77c-b4c6-4719-bdf4-e6a4006c0655,17,10,5,2,3,30,24,6,2026,2026-05-26 22:35:04.935141+00
fe4d065f-7d4f-4125-b970-31110f157dad,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,e1fc94b5-ade4-4e17-81e2-49026b5a2a38,18,10,6,0,4,25,19,6,2026,2026-05-26 22:35:04.935141+00
210912de-0f52-4ec8-9786-0bbd3a3290a3,edb83ebc-95c3-4f26-99b3-0b758a5d08c6,77d699bb-b99d-4204-b605-2fe9b4d62196,20,10,6,2,2,22,17,5,2026,2026-05-26 22:35:05.160972+00
eae3885e-8dda-4857-8f84-e8e89377d976,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,265f5197-ea45-4b9e-bd1a-4a7e2c6113bb,29,26,7,8,11,24,32,-8,2026,2026-05-27 17:39:26.648123+00
d3c42cdc-f5d0-4549-a97f-51ec309b3ba2,9aae628c-fe5d-4c4b-a20d-ac978d00b3a6,bf87d9e5-a845-4fae-bbe9-167ec1788d91,32,24,9,5,10,28,28,0,2026,2026-05-27 17:39:22.438833+00
