id,league_id,team_id,season_month,season_year,played,wins,draws,losses,goals_for,goals_against,points,updated_at,country,last_5_games,sequence,win_rate,qualified_for_mundial
96c29a0f-dd55-4692-a588-1f81fc085324,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,c3c844e6-4fba-4ae4-8a9f-fdd66a28cdef,1,2026,26,10,4,12,29,35,34,2026-05-27 21:32:52.086021+00,Brasil,DDDVV,-,0.00,f
291adf93-fb5a-46f4-8295-cb0e70e61b23,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,41e4f0b8-74a7-4c8c-809c-6c2a5c87f78c,1,2026,26,9,3,14,31,31,30,2026-05-27 21:32:52.086021+00,Brasil,EDVDV,-,0.00,f
b08f1029-781d-4a55-8c09-8a8b6e1aef52,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,91acf5d3-326a-4d26-b40c-5d904eb6b80d,1,2026,26,13,5,8,32,24,44,2026-05-27 21:32:52.086021+00,Brasil,DVVDV,-,0.00,f
063aa538-5ec8-4d21-83fe-5af37971341f,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,896b6431-bb5e-4a21-9600-ae4c3fca1c3f,1,2026,26,12,6,8,37,34,42,2026-05-27 21:32:52.086021+00,Brasil,VEVVV,-,0.00,f
d75bf7e3-6295-4b7d-9138-52e2626dcaba,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,62e79ed3-295a-43c5-b97a-82de08c48d84,1,2026,26,10,5,11,33,33,35,2026-05-27 21:32:52.086021+00,Brasil,EEDVE,-,0.00,f
583f1167-4cb9-4649-93b7-c723600937de,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,0fec855e-75b4-45c1-abfc-f4ea0c3b7478,1,2026,26,13,3,10,33,27,42,2026-05-27 21:32:52.086021+00,Brasil,VVDVE,-,0.00,f
a54b4586-6780-43ae-b98e-78cd70650f15,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,f6ac8dec-c1be-492f-aeca-9154325cc0c0,1,2026,26,11,8,7,34,26,41,2026-05-27 21:32:52.086021+00,Brasil,EVVDD,-,0.00,f
75ec5712-d859-47ed-800f-7ba7c0069e7c,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,5ff096dd-1deb-4f96-bcd4-4d5995eca842,1,2026,26,7,6,13,31,41,27,2026-05-27 21:32:52.086021+00,Brasil,VEDDE,-,0.00,f
9ebaad08-48ab-4840-ab41-40f7acac8e0a,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,bb3a15c5-fd6d-4812-833c-c4d423cbe8dd,1,2026,26,8,7,11,27,30,31,2026-05-27 21:32:52.086021+00,Brasil,EDEDD,-,0.00,f
3adcc504-b72a-47e0-acb1-37828f06ec40,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,d45a9bea-5b06-416c-b8ff-132485269a92,1,2026,26,9,5,12,34,41,32,2026-05-27 21:32:52.086021+00,Brasil,VEVVE,-,0.00,f
87f09ba0-bc2d-4891-b4c4-8cfaf21527af,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,1f3dd152-0d0c-42ef-b11f-4d27f80cca1e,1,2026,26,8,10,8,24,27,34,2026-05-27 21:32:52.086021+00,Brasil,DVEDE,-,0.00,f
12bf7058-d2ea-4afc-b968-fb620a7c0e9f,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,c4ba7230-a8af-4d3e-9c38-9e7f200ea3da,1,2026,26,6,11,9,30,37,29,2026-05-27 21:32:52.086021+00,Brasil,DDEEE,-,0.00,f
c37ca1e1-036e-47dd-be1a-d423d2ffcb20,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,645342d3-bcf2-4518-ae4d-1b4186d09ee5,1,2026,26,10,4,12,28,33,34,2026-05-27 21:32:52.086021+00,Brasil,EEDVD,-,0.00,f
6b32e46c-da58-4830-9678-9e73f49254a0,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,e551513d-4b07-4f23-beee-cf4759330805,1,2026,26,15,5,6,47,32,50,2026-05-27 21:32:52.086021+00,Brasil,VEDVE,-,0.00,f
87a53516-cf58-4ee2-a715-6f4c8a69fec9,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,4759171b-7e95-4f57-b076-9c8178b50816,1,2026,28,6,13,9,33,39,31,2026-05-27 21:32:52.086021+00,Brasil,DEEEE,-,0.00,f
95a4cebb-e07a-4e43-9d6c-f85d7f9b53b7,d1f21b06-0e13-4b57-97c2-36a37e5a33f4,054b3b0c-cef4-4f88-913c-26bc2cd0b00a,1,2026,28,11,9,8,39,32,42,2026-05-27 21:32:52.086021+00,Brasil,VDEVD,-,0.00,f
7f38b9b7-ead4-4c76-b2ce-7393733fc15c,85e98474-9e1e-422a-a371-96f0209b7a4a,69e492cc-90c8-4cf1-aade-5803b82cd9d5,1,2026,27,13,5,9,38,29,44,2026-05-27 18:43:34.594372+00,Brasil,VDVVV,-,0.00,f
4142facd-2f33-42b2-9a6b-010f03cc8c9a,85e98474-9e1e-422a-a371-96f0209b7a4a,cc8990e9-ec35-4c56-8f08-51aa25a603b4,1,2026,27,7,5,15,25,40,26,2026-05-27 18:43:34.594372+00,Brasil,DVVED,-,0.00,f
d1fd7e29-4acc-410f-9f17-d85e95714225,85e98474-9e1e-422a-a371-96f0209b7a4a,29c0c282-a24b-44c5-9186-e2f4f9915e27,1,2026,27,11,3,13,38,38,36,2026-05-27 18:43:34.594372+00,Brasil,VVEDV,-,0.00,f
b93c2f02-be9a-46f5-97ca-b6d9222347d9,85e98474-9e1e-422a-a371-96f0209b7a4a,41c6b305-8433-48ed-a523-b27d937be3c0,1,2026,27,6,7,14,30,38,25,2026-05-27 18:43:34.594372+00,Brasil,VVDDD,-,0.00,f
432f6ec8-f25d-45dd-b2dc-07d1306b088e,85e98474-9e1e-422a-a371-96f0209b7a4a,699d407e-e2b6-443f-8094-21d898d39e6a,1,2026,27,13,6,8,37,32,45,2026-05-27 18:43:34.594372+00,Brasil,DDDDE,-,0.00,f
b1588b31-4247-46ea-b506-b323193efa42,85e98474-9e1e-422a-a371-96f0209b7a4a,23c0d290-59a4-4097-abfa-6912dcbe639e,1,2026,27,10,7,10,32,33,37,2026-05-27 18:43:34.594372+00,Brasil,EVDDE,-,0.00,f
dd4d0a19-86a4-454e-8756-f2023754d598,85e98474-9e1e-422a-a371-96f0209b7a4a,b41010d3-24d8-4d32-9817-4a27ea3a8ce6,1,2026,27,12,4,11,34,41,40,2026-05-27 18:43:34.594372+00,Brasil,VDDVV,-,0.00,f
effe6940-3b68-4589-95b5-610a4ccb7a3b,85e98474-9e1e-422a-a371-96f0209b7a4a,56126c54-1a1c-4d31-9b1f-72bef1d0ddd1,1,2026,27,8,8,11,36,41,32,2026-05-27 18:43:34.594372+00,Brasil,DDVDE,-,0.00,f
42f666b9-7376-4336-bfdb-eaa8daf5c878,85e98474-9e1e-422a-a371-96f0209b7a4a,d88f5997-c030-4133-8035-2dcb0c2aa4ac,1,2026,27,9,7,11,40,41,34,2026-05-27 18:43:34.594372+00,Brasil,VVEEE,-,0.00,f
cde90b1f-312a-49db-853c-fd1af8391390,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,ab0f24c3-0969-44e4-be83-fb5d07f83052,1,2026,26,10,7,9,34,27,37,2026-05-27 21:10:45.192149+00,Brasil,DEEVV,-,0.00,f
6f3ab545-5f9a-4456-aee7-994275c01164,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,9c9341ab-6129-4241-98cc-fa8effc0c966,1,2026,27,12,8,7,36,27,44,2026-05-27 21:10:45.192149+00,Brasil,DDVDE,-,0.00,f
adc181a4-75d7-4ae3-b3b7-bcdb15213356,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,f7ffcfcb-65c3-48b0-b8ea-9bb4355a3dbe,1,2026,27,6,10,11,38,46,28,2026-05-27 21:10:45.192149+00,Brasil,DEVDE,-,0.00,f
cea6d1db-abf2-4d2c-b6e2-f207a8ca417f,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,af6c651d-f15e-4fa2-88e0-7a3009fe0b9a,1,2026,26,10,4,12,31,28,34,2026-05-27 21:10:45.192149+00,Brasil,DEVVD,-,0.00,f
7637b449-e7b2-48a9-a343-7182421772e6,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,4782dd9b-8153-4b49-96a3-d9fe4bdb8d22,1,2026,26,10,12,4,42,31,42,2026-05-27 21:10:45.192149+00,Brasil,VVVVD,-,0.00,f
64121e1b-62ee-4a51-bb57-c0f9c247969b,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,874c83bc-2e4c-4f73-93ea-23191a8216fc,1,2026,26,12,7,7,32,22,43,2026-05-27 21:10:45.192149+00,Brasil,EEDEE,-,0.00,f
2aa06db0-10ab-4179-8b75-e99ad8a0a4f0,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,bec4bf24-b055-4309-afc0-6400c087d1ba,1,2026,27,6,7,14,24,33,25,2026-05-27 21:10:45.192149+00,Brasil,EEDVE,-,0.00,f
67f097fb-2678-4eca-9df8-228c9414da70,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,47a47811-7170-4fc6-8964-ef1681b66b20,1,2026,26,7,7,12,28,34,28,2026-05-27 21:10:45.192149+00,Brasil,VEDDV,-,0.00,f
af7bbbe7-6ff2-495f-a03c-71c077ff5d7c,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,bc75469d-a2e8-4e4a-b0a6-3167283b0d0d,1,2026,27,9,7,11,38,41,34,2026-05-27 21:10:45.192149+00,Brasil,VVDVD,-,0.00,f
44971c5f-d2ed-44c8-881b-7dc76f96a852,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,08fcf3ce-adf1-4bda-a369-05d3c34e7d63,1,2026,26,12,6,8,37,31,42,2026-05-27 21:10:45.192149+00,Brasil,EDEDE,-,0.00,f
3f7dcb23-f10b-412a-bfb9-5b7acbf10f32,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,3800ff14-d21e-4a47-b772-afa75aef7bc1,1,2026,27,11,4,12,29,35,37,2026-05-27 21:10:45.192149+00,Brasil,VVVVE,-,0.00,f
3d505258-7494-493d-abab-8c76349507fc,bfcbb2dc-20ea-4129-8d0a-66beb1d8138a,0f7b0a9f-1164-4780-88d0-65b9766885f0,1,2026,26,11,6,9,28,31,39,2026-05-27 21:10:45.192149+00,Brasil,DVDVV,-,0.00,f
